# time,BOT[0].botPosition[1]
13174.22664802285,7
13179.10664802296,9
13179.10664802296,9
13183.98664802307,12
13183.98664802307,12
13188.86421918522,14
13188.86421918522,14
13193.74664802328,13
13193.74664802328,13
13198.62421918543,12
13198.62421918543,12
13203.50421918554,10
13203.50421918554,10
13208.3866480236,7
13208.3866480236,7
13213.26421918575,6
13213.26421918575,6
13218.14664802381,3
13218.14664802381,3
15020.74791545481,3
15025.62791545491,0
15025.62791545491,0
15056.74791545558,0
15061.62791545569,2
15061.62791545569,2
15066.5079154558,4
15066.5079154558,4
15071.3879154559,7
15071.3879154559,7
15076.26791545601,9
15076.26791545601,9
15081.14791545611,12
15081.14791545611,12
15086.02791545622,14
15086.02791545622,14
15098.61947923649,14
15103.49947923659,12
15103.49947923659,12
15108.6194792367,12
15113.49947923681,9
15113.49947923681,9
15118.37947923692,7
15118.37947923692,7
15123.25947923702,4
15123.25947923702,4
15128.13947923713,2
15128.13947923713,2
15134.61947923727,2
15139.49947923738,3
15139.49947923738,3
15291.06693653394,3
15295.94417146428,0
15295.94417146428,0
15300.82417146438,1
15300.82417146438,1
15305.70417146449,3
15305.70417146449,3
15310.58417146459,5
15310.58417146459,5
15315.46693653445,8
15315.46693653445,8
15320.34417146479,10
15320.34417146479,10
15325.22693653466,13
15325.22693653466,13
15330.104171465,14
15330.104171465,14
15366.03463866522,14
15370.91463866532,12
15370.91463866532,12
15404.03463866602,12
15408.91463866612,9
15408.91463866612,9
15413.78889358435,7
15413.78889358435,7
15418.66463866632,4
15418.66463866632,4
15423.54101734075,2
15423.54101734075,2
15428.41463866653,3
15428.41463866653,3
15960.87068856191,3
15965.75068856201,0
15965.75068856201,0
15970.62899631802,1
15970.62899631802,1
15975.51068856222,3
15975.51068856222,3
15980.38899631823,5
15980.38899631823,5
15985.27068856242,8
15985.27068856242,8
15990.14899631843,10
15990.14899631843,10
15995.03068856262,13
15995.03068856262,13
15999.90899631863,14
15999.90899631863,14
16035.09668706748,14
16039.97668706758,12
16039.97668706758,12
16081.09668706848,12
16085.97668706859,9
16085.97668706859,9
16090.85101849528,7
16090.85101849528,7
16095.7266870688,4
16095.7266870688,4
16100.60101849549,2
16100.60101849549,2
16107.09668706905,2
16111.97668706916,3
16111.97668706916,3
16374.49177334979,3
16379.36526166375,0
16379.36526166375,0
16402.49177334706,0
16407.36501781909,2
16407.36501781909,2
16412.24501781832,4
16412.24501781832,4
16417.1252616586,7
16417.1252616586,7
16422.00501781677,9
16422.00501781677,9
16426.88177334319,12
16426.88177334319,12
16431.75501781521,14
16431.75501781521,14
